sample,run,file1,file2,file_unpaired
SRS404740,SRR798209,SRR798209_1.fastq.gz,SRR798209_2.fastq.gz,
SRS404741,SRR822916,SRR822916_1.fastq.gz,SRR822916_2.fastq.gz,
SRS404741,SRR798678,SRR798678_1.fastq.gz,SRR798678_2.fastq.gz,
SRS404741,SRR798187,SRR798187_1.fastq.gz,SRR798187_2.fastq.gz,
SRS404741,SRR822339,SRR822339_1.fastq.gz,SRR822339_2.fastq.gz,
SRS404741,SRR799060,SRR799060_1.fastq.gz,SRR799060_2.fastq.gz,
SRS404741,SRR798134,SRR798134_1.fastq.gz,SRR798134_2.fastq.gz,
SRS404743,SRR799002,SRR799002_1.fastq.gz,SRR799002_2.fastq.gz,
SRS404743,SRR798893,SRR798893_1.fastq.gz,SRR798893_2.fastq.gz,
SRS404743,SRR798136,SRR798136_1.fastq.gz,SRR798136_2.fastq.gz,
SRS404743,SRR798736,SRR798736_1.fastq.gz,SRR798736_2.fastq.gz,
SRS404743,SRR798158,SRR798158_1.fastq.gz,SRR798158_2.fastq.gz,
SRS404743,SRR798937,SRR798937_1.fastq.gz,SRR798937_2.fastq.gz,
SRS404743,SRR798869,SRR798869_1.fastq.gz,SRR798869_2.fastq.gz,
SRS404743,SRR822920,SRR822920_1.fastq.gz,SRR822920_2.fastq.gz,
SRS404745,SRR823356,SRR823356_1.fastq.gz,SRR823356_2.fastq.gz,
SRS404745,SRR798140,SRR798140_1.fastq.gz,SRR798140_2.fastq.gz,
SRS404745,SRR798196,SRR798196_1.fastq.gz,SRR798196_2.fastq.gz,
SRS404746,SRR825376,SRR825376_1.fastq.gz,SRR825376_2.fastq.gz,
SRS404746,SRR823299,SRR823299_1.fastq.gz,SRR823299_2.fastq.gz,
SRS404746,SRR798718,SRR798718_1.fastq.gz,SRR798718_2.fastq.gz,
SRS404746,SRR798938,SRR798938_1.fastq.gz,SRR798938_2.fastq.gz,
SRS404746,SRR798250,SRR798250_1.fastq.gz,SRR798250_2.fastq.gz,
SRS404746,SRR798973,SRR798973_1.fastq.gz,SRR798973_2.fastq.gz,
SRS404750,SRR798145,SRR798145_1.fastq.gz,SRR798145_2.fastq.gz,
SRS404750,SRR798289,SRR798289_1.fastq.gz,SRR798289_2.fastq.gz,
SRS404750,SRR798167,SRR798167_1.fastq.gz,SRR798167_2.fastq.gz,
