SAMN01932680	Cryptococcus_neoformans_Bt1	SRS409065
SAMN01932679	Cryptococcus_neoformans_125.91	SRS409479
SAMN01162770	Cryptococcus neoformans var. grubii A1-35-8	SRS404462
SAMN01162769	Cryptococcus neoformans var. grubii A5-35-17	SRS404443
SAMN01162767	Cryptococcus neoformans var. grubii Ze90-1	SRS409061
SAMN01162766	Cryptococcus neoformans var. grubii Tu401-1	SRS409483
SAMN01162761	Cryptococcus neoformans var. grubii Tu259-1	SRS409076
SAMN01162759	Cryptococcus neoformans var. grubii Bt120	SRS523961
SAMN01162758	Cryptococcus neoformans var. grubii MW-RSA852	SRS409067
SAMN01162755	Cryptococcus neoformans var. grubii MW-RSA1955	SRS409064
SAMN01162754	Cryptococcus neoformans var. grubii AD1-83a	SRS409063
SAMN01162751	Cryptococcus neoformans var. grubii MW-RSA36	SRS409177
SAMN01162748	Cryptococcus neoformans var. grubii AD2-60a	SRS409058
SAMN01162747	Cryptococcus neoformans var. grubii D17-1	SRS409781
SAMN01162746	Cryptococcus neoformans var. grubii A2-102-5	SRS409060
SAMN01162745	Cryptococcus neoformans var. grubii AD1-7a	SRS409478
